Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2000-01-03,6.105549360712,6.305728644235,6.360379181651,6.404645227499,6.463927846514,6.534741976731,6.609015860422,6.680261870063,6.74439056335,6.799219021315,6.843847094029,6.878173435489,6.90256804449,6.917662687575,6.924220199935,6.923054189731,6.914980407908,6.900787938574,6.881222819586,6.856979480929,6.828697102058,6.796959048404,6.762294207484,6.725179461629,6.686042800829,6.64526675177,6.603191912451,6.560120456759,6.516319523591,6.472024438769
2000-01-04,6.048099642909,6.221972973786,6.25902652552,6.304226197939,6.370536742649,6.447474139401,6.52499233355,6.596835025874,6.659755417362,6.712396439087,6.754493195877,6.786383179791,6.808719165374,6.822303074582,6.82799011856,6.826633783114,6.819054817183,6.806024519206,6.788256634865,6.76640446806,6.74106113512,6.712761680102,6.681986246759,6.64916379836,6.614676062914,6.578861500501,6.542019166667,6.504412396292,6.466272265485,6.427800810819
2000-01-05,6.109610516292,6.310092987927,6.359771665269,6.411983317528,6.482132486487,6.560855252277,6.638800171835,6.71017979932,6.772067369877,6.82332493554,6.863838763411,6.894051688152,6.914690534095,6.926609471899,6.930700436015,6.927842350516,6.918873058561,6.904574703642,6.885667156864,6.862806269063,6.836584991815,6.807536160745,6.776136188015,6.74280919109,6.70793126093,6.671834685164,6.634812014232,6.597119905636,6.558982712132,6.520595799732
2000-01-06,6.08284251048,6.264054958378,6.308772037928,6.361621553825,6.431273003011,6.507020522727,6.580186782723,6.645949821882,6.702132964917,6.74808076289,6.783956567658,6.810343099012,6.828020499839,6.837843233239,6.840671867613,6.837335779932,6.8286135959,6.81522396301,6.797822393145,6.777001660801,6.753294244392,6.72717588651,6.699069703291,6.669350490701,6.638349011723,6.606356134653,6.573626747898,6.540383412143,6.506819733478,6.473103455614
2000-01-07,6.065259128719,6.243212773547,6.279279243758,6.324390369543,6.38922940507,6.462782149465,6.53554983284,6.60199666312,6.659445221212,6.706914717229,6.744363710791,6.77224840579,6.791272632763,6.802246912456,6.806008962775,6.803379178983,6.795136358792,6.782005335317,6.764651690188,6.743680685933,6.719638687096,6.693016005719,6.66425050901,6.633731574893,6.601804136745,6.568772657735,6.534904938955,6.500435706937,6.465569952996,6.430486014301
2000-01-10,6.10538044724,6.296045382328,6.337825543419,6.381736294595,6.442537666193,6.511385717385,6.579625699747,6.641989306839,6.695854044023,6.740223557086,6.775020419732,6.800660939063,6.817810242019,6.827242745623,6.829762920146,6.826160685794,6.817186964519,6.803541124377,6.785865509617,6.764744200818,6.740704275214,6.714218502462,6.685708812984,6.655550123979,6.624074263783,6.591573834464,6.558305916318,6.524495559361,6.490339033815,6.45600682902
2000-01-11,6.147174327254,6.360239694142,6.415253732772,6.464896775653,6.528200382987,6.598399031365,6.667565675236,6.730625404982,6.784984940024,6.829643533707,6.864522443817,6.890045732637,6.906893330631,6.915858452216,6.917765974162,6.913426271939,6.903609841883,6.889034238257,6.870358363638,6.848181153834,6.82304286144,6.795427831588,6.765768080876,6.734447248134,6.701804647591,6.66813925806,6.633713548177,6.598757080742,6.563469867171,6.528025461193
2000-01-12,6.180528014422,6.39860353369,6.45649272914,6.510478017354,6.576707018638,6.647561357396,6.715469605232,6.775989863419,6.827083674041,6.868155750474,6.89940271937,6.921428831416,6.935028489142,6.941064713642,6.940401796157,6.933868718018,6.92224026324,6.906228421366,6.886479804384,6.863576555709,6.838039236647,6.810330768444,6.780860864589,6.749990606872,6.718036955096,6.685277066532,6.651952356011,6.618272262522,6.584417710483,6.5505442678
2000-01-13,6.124656974793,6.323020107557,6.375175993551,6.423047109617,6.483032297969,6.548595049365,6.612598344595,6.670624273089,6.720494010873,6.761426244543,6.793432430782,6.816948259271,6.832620174165,6.841183610821,6.843394008318,6.839988211279,6.831663561025,6.819067408689,6.802792818112,6.783377944467,6.761307567228,6.737015842768,6.710889696292,6.683272491331,6.654467752007,6.624742800459,6.594332227767,6.56344115295,6.532248248011,6.500908522145
2000-01-14,6.148642134516,6.35885928578,6.420877273701,6.472476844756,6.531884664104,6.594579994361,6.65476480668,6.708798162865,6.754923581737,6.79257504943,6.821861156437,6.843247653851,6.857373201483,6.86494451314,6.866677308335,6.863263638752,6.855354538116,6.843551667324,6.828404271396,6.810409263088,6.790013113809,6.76761474383,6.743568912496,6.718189799181,6.691754584664,6.664506918035,6.636660202574,6.608400665102,6.579890193297,6.551268938263
